"Asset","Venue","Pair","FundingRatePct","IntervalHours","AnnualizedPct","FundingUsdPerInterval","FundingUsdPerDay","EstimatedEntryExitFeesUsd","IntervalsToCoverFees","SimpleReceiveSide","NextFundingTime","Decision"
"BNB","Binance Futures","BNBUSDT","0.010896","8","11.93","0.01090","0.03269","0.400","37","Short perp receives","1783036800000","WATCH TOO SMALL"
"ICP","OKX Swap","ICP-USDT-SWAP","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"ALGO","Binance Futures","ALGOUSDT","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"ICP","Binance Futures","ICPUSDT","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"NEAR","OKX Swap","NEAR-USDT-SWAP","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"ICP","Bybit Linear","ICPUSDT","0.0100","8","10.95","0.0100","0.0300","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"STX","Bybit Linear","STXUSDT","0.0100","8","10.95","0.0100","0.0300","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"STX","OKX Swap","STX-USDT-SWAP","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"IMX","Bybit Linear","IMXUSDT","0.00500","4","10.95","0.00500","0.03000","0.400","80","Short perp receives","1783022400000","WATCH TOO SMALL"
"ALGO","OKX Swap","ALGO-USDT-SWAP","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"RENDER","Bybit Linear","RENDERUSDT","0.00500","4","10.95","0.00500","0.03000","0.400","80","Short perp receives","1783022400000","WATCH TOO SMALL"
"STX","Binance Futures","STXUSDT","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
