"Question","Slug","Url","Outcomes","Liquidity","Volume","PriceSum","PriceEdgePerSet","AskSum","EdgePerSet","EdgePct","TopDepthSets","EdgeAtTopUsd","BestAsks","BestBids","EnableOrderBook","AcceptingOrders","Restricted","NegRisk","EndDate","Decision","Notes"
"Will Phil Murphy win the 2028 Democratic presidential nomination?","will-phil-murphy-win-the-2028-democratic-presidential-nomination-611","https://polymarket.com/market/will-phil-murphy-win-the-2028-democratic-presidential-nomination-611","2","2528749.58","41289269.43","1.0000","0.0000","1.001","-0.001","-0.100","2353117.32","-2353.1173","Yes=0.0070 (2353117.32); No=0.9940 (3425568.22)","Yes=0.0060 (3425568.22); No=0.9930 (2353117.32)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will LeBron James win the 2028 Democratic presidential nomination?","will-lebron-james-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-lebron-james-win-the-2028-democratic-presidential-nomination","2","2677020.16","43112187.30","1.0000","0.0000","1.001","-0.001","-0.100","708071.9","-708.0719","Yes=0.0080 (2218495.42); No=0.9930 (708071.90)","Yes=0.0070 (708071.90); No=0.9920 (2218495.42)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Hunter Biden win the 2028 Democratic presidential nomination?","will-person-a-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-person-a-win-the-2028-democratic-presidential-nomination","2","1477147.77","43243791.19","1.0000","0.0000","1.001","-0.001","-0.100","495255.51","-495.2555","Yes=0.0070 (704137.61); No=0.9940 (495255.51)","Yes=0.0060 (495255.51); No=0.9930 (704137.61)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Hillary Clinton win the 2028 Democratic presidential nomination?","will-hillary-clinton-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-hillary-clinton-win-the-2028-democratic-presidential-nomination","2","2637423.12","43183035.59","1.0000","0.0000","1.001","-0.001","-0.100","379172.73","-379.1727","Yes=0.0080 (379172.73); No=0.9930 (1675093.48)","Yes=0.0070 (1675093.48); No=0.9920 (379172.73)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Liz Cheney win the 2028 Democratic presidential nomination?","will-liz-cheney-win-the-2028-democratic-presidential-nomination-551","https://polymarket.com/market/will-liz-cheney-win-the-2028-democratic-presidential-nomination-551","2","2480025.66","37803540.34","1.0000","0.0000","1.001","-0.001","-0.100","888782.1","-888.7821","Yes=0.0080 (1485347.73); No=0.9930 (888782.10)","Yes=0.0070 (888782.10); No=0.9920 (1485347.73)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Bernie Sanders win the 2028 Democratic presidential nomination?","will-bernie-sanders-win-the-2028-democratic-presidential-nomination-879","https://polymarket.com/market/will-bernie-sanders-win-the-2028-democratic-presidential-nomination-879","2","975985.32","50877403.72","1.0000","0.0000","1.001","-0.001","-0.100","824892.34","-824.8923","Yes=0.0080 (824892.34); No=0.9930 (4227114.38)","Yes=0.0070 (4227114.38); No=0.9920 (824892.34)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?","will-dwayne-the-rock-johnson-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-dwayne-the-rock-johnson-win-the-2028-democratic-presidential-nomination","2","868534.81","12226480.12","1.0000","0.0000","1.001","-0.001","-0.100","6617.99","-6.6180","Yes=0.0120 (6617.99); No=0.9890 (11009.83)","Yes=0.0110 (11009.83); No=0.9880 (6617.99)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Oprah Winfrey win the 2028 Democratic presidential nomination?","will-oprah-winfrey-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-oprah-winfrey-win-the-2028-democratic-presidential-nomination","2","2359765.71","53807522.62","1.0000","0.0000","1.001","-0.001","-0.100","1264706.52","-1264.7065","Yes=0.0080 (1264706.52); No=0.9930 (1587340.18)","Yes=0.0070 (1587340.18); No=0.9920 (1264706.52)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Andrew Yang win the 2028 Democratic presidential nomination?","will-andrew-yang-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-andrew-yang-win-the-2028-democratic-presidential-nomination","2","2450477.53","47678388.34","1.0000","0.0000","1.001","-0.001","-0.100","2348584.36","-2348.5844","Yes=0.0070 (2348584.36); No=0.9940 (2563383.24)","Yes=0.0060 (2563383.24); No=0.9930 (2348584.36)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will George Clooney win the 2028 Democratic presidential nomination?","will-george-clooney-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-george-clooney-win-the-2028-democratic-presidential-nomination","2","2712423.48","42008879.44","1.0000","0.0000","1.001","-0.001","-0.100","1091751.62","-1091.7516","Yes=0.0070 (2620957.82); No=0.9940 (1091751.62)","Yes=0.0060 (1091751.62); No=0.9930 (2620957.82)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Chelsea Clinton win the 2028 Democratic presidential nomination?","will-chelsea-clinton-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-chelsea-clinton-win-the-2028-democratic-presidential-nomination","2","612270.08","49743407.64","1.0000","0.0000","1.001","-0.001","-0.100","85707.89","-85.7079","Yes=0.0090 (85707.89); No=0.9920 (1260511.45)","Yes=0.0080 (1260511.45); No=0.9910 (85707.89)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will MrBeast win the 2028 Democratic presidential nomination?","will-mrbeast-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-mrbeast-win-the-2028-democratic-presidential-nomination","2","2877633.37","39276830.17","1.0000","0.0000","1.001","-0.001","-0.100","1630387.34","-1630.3873","Yes=0.0080 (2757620.66); No=0.9930 (1630387.34)","Yes=0.0070 (1630387.34); No=0.9920 (2757620.66)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Mark Kelly win the 2028 Democratic presidential nomination?","will-mark-kelly-win-the-2028-democratic-presidential-nomination-479","https://polymarket.com/market/will-mark-kelly-win-the-2028-democratic-presidential-nomination-479","2","562146.48","16148793.74","1.0000","0.0000","1.001","-0.001","-0.100","7678.95","-7.6790","Yes=0.0150 (82869.65); No=0.9860 (7678.95)","Yes=0.0140 (7678.95); No=0.9850 (82869.65)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Rahm Emanuel win the 2028 Democratic presidential nomination?","will-rahm-emanuel-win-the-2028-democratic-presidential-nomination-299","https://polymarket.com/market/will-rahm-emanuel-win-the-2028-democratic-presidential-nomination-299","2","380662.94","14155708.01","1.0000","0.0000","1.001","-0.001","-0.100","47531.85","-47.5318","Yes=0.0170 (68943.45); No=0.9840 (47531.85)","Yes=0.0160 (47531.85); No=0.9830 (68943.45)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Gina Raimondo win the 2028 Democratic presidential nomination?","will-gina-raimondo-win-the-2028-democratic-presidential-nomination-676","https://polymarket.com/market/will-gina-raimondo-win-the-2028-democratic-presidential-nomination-676","2","2258830.83","35244828.95","1.0000","0.0000","1.001","-0.001","-0.100","1003817.55","-1003.8176","Yes=0.0080 (1249661.65); No=0.9930 (1003817.55)","Yes=0.0070 (1003817.55); No=0.9920 (1249661.65)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Cory Booker win the 2028 Democratic presidential nomination?","will-corey-booker-win-the-2028-democratic-presidential-nomination-125","https://polymarket.com/market/will-corey-booker-win-the-2028-democratic-presidential-nomination-125","2","1835626.80","25015555.78","1.0000","0.0000","1.001","-0.001","-0.100","448654.49","-448.6545","Yes=0.0090 (448654.49); No=0.9920 (847084.52)","Yes=0.0080 (847084.52); No=0.9910 (448654.49)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Tim Walz win the 2028 US Presidential Election?","will-tim-walz-win-the-2028-us-presidential-election","https://polymarket.com/market/will-tim-walz-win-the-2028-us-presidential-election","2","1974052.77","42786806.31","1.0000","0.0000","1.001","-0.001","-0.100","1446112.84","-1446.1128","Yes=0.0070 (1446112.84); No=0.9940 (1618043.39)","Yes=0.0060 (1618043.39); No=0.9930 (1446112.84)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Michelle Obama win the 2028 Democratic presidential nomination?","will-michelle-obama-win-the-2028-democratic-presidential-nomination-777","https://polymarket.com/market/will-michelle-obama-win-the-2028-democratic-presidential-nomination-777","2","1996513.48","25923930.36","1.0000","0.0000","1.001","-0.001","-0.100","72669.51","-72.6695","Yes=0.0120 (72669.51); No=0.9890 (227764.33)","Yes=0.0110 (227764.33); No=0.9880 (72669.51)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Jared Polis win the 2028 Democratic presidential nomination?","will-jared-polis-win-the-2028-democratic-presidential-nomination-837","https://polymarket.com/market/will-jared-polis-win-the-2028-democratic-presidential-nomination-837","2","745676.33","26762842.20","1.0000","0.0000","1.001","-0.001","-0.100","571133.36","-571.1334","Yes=0.0080 (571133.36); No=0.9930 (1284146.13)","Yes=0.0070 (1284146.13); No=0.9920 (571133.36)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Jon Stewart win the 2028 Democratic presidential nomination?","will-jon-stewart-win-the-2028-democratic-presidential-nomination-518","https://polymarket.com/market/will-jon-stewart-win-the-2028-democratic-presidential-nomination-518","2","292996.72","24452457.09","1.0000","0.0000","1.001","-0.001","-0.100","27.72","-0.0277","Yes=0.0220 (27.72); No=0.9790 (289.99)","Yes=0.0210 (289.99); No=0.9780 (27.72)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Barack Obama win the 2028 Democratic presidential nomination?","will-barack-obama-win-the-2028-democratic-presidential-nomination-265","https://polymarket.com/market/will-barack-obama-win-the-2028-democratic-presidential-nomination-265","2","2244154.78","33394850.23","1.0000","0.0000","1.001","-0.001","-0.100","1863610.29","-1863.6103","Yes=0.0080 (1892096.03); No=0.9930 (1863610.29)","Yes=0.0070 (1863610.29); No=0.9920 (1892096.03)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Zohran Mamdani win the 2028 Democratic presidential nomination?","will-zohran-mamdani-win-the-2028-democratic-presidential-nomination-445","https://polymarket.com/market/will-zohran-mamdani-win-the-2028-democratic-presidential-nomination-445","2","2320186.30","38177065.95","1.0000","0.0000","1.001","-0.001","-0.100","1126763.01","-1126.7630","Yes=0.0080 (2154451.67); No=0.9930 (1126763.01)","Yes=0.0070 (1126763.01); No=0.9920 (2154451.67)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Roy Cooper win the 2028 Democratic presidential nomination?","will-roy-cooper-win-the-2028-democratic-presidential-nomination-286","https://polymarket.com/market/will-roy-cooper-win-the-2028-democratic-presidential-nomination-286","2","1696783.61","30927410.31","1.0000","0.0000","1.001","-0.001","-0.100","319538.46","-319.5385","Yes=0.0100 (931238.56); No=0.9910 (319538.46)","Yes=0.0090 (319538.46); No=0.9900 (931238.56)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will John Fetterman win the 2028 Democratic presidential nomination?","will-john-fetterman-win-the-2028-democratic-presidential-nomination-941","https://polymarket.com/market/will-john-fetterman-win-the-2028-democratic-presidential-nomination-941","2","2103271.40","22081614.52","1.0000","0.0000","1.001","-0.001","-0.100","1480950.1","-1480.9501","Yes=0.0070 (1480950.10); No=0.9940 (2365968.05)","Yes=0.0060 (2365968.05); No=0.9930 (1480950.10)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Glenn Youngkin win the 2028 US Presidential Election?","will-glenn-youngkin-win-the-2028-us-presidential-election","https://polymarket.com/market/will-glenn-youngkin-win-the-2028-us-presidential-election","2","1699040.00","25982976.64","1.0000","0.0000","1.001","-0.001","-0.100","318604.2","-318.6042","Yes=0.0080 (1294181.10); No=0.9930 (318604.20)","Yes=0.0070 (318604.20); No=0.9920 (1294181.10)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Kamala Harris win the 2028 US Presidential Election?","will-kamala-harris-win-the-2028-us-presidential-election","https://polymarket.com/market/will-kamala-harris-win-the-2028-us-presidential-election","2","333049.84","8163419.46","1.0000","0.0000","1.001","-0.001","-0.100","5367.46","-5.3675","Yes=0.0360 (22245.28); No=0.9650 (5367.46)","Yes=0.0350 (5367.46); No=0.9640 (22245.28)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Stephen Smith win the 2028 US Presidential Election?","will-stephen-smith-win-the-2028-us-presidential-election","https://polymarket.com/market/will-stephen-smith-win-the-2028-us-presidential-election","2","1200837.50","32826024.97","1.0000","0.0000","1.001","-0.001","-0.100","274137.43","-274.1374","Yes=0.0080 (274137.43); No=0.9930 (561526.02)","Yes=0.0070 (561526.02); No=0.9920 (274137.43)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Wes Moore win the 2028 US Presidential Election?","will-wes-moore-win-the-2028-us-presidential-election","https://polymarket.com/market/will-wes-moore-win-the-2028-us-presidential-election","2","367879.25","11402483.30","1.0000","0.0000","1.001","-0.001","-0.100","39447.63","-39.4476","Yes=0.0090 (92079.31); No=0.9920 (39447.63)","Yes=0.0080 (39447.63); No=0.9910 (92079.31)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Gretchen Whitmer win the 2028 US Presidential Election?","will-gretchen-whitmer-win-the-2028-us-presidential-election","https://polymarket.com/market/will-gretchen-whitmer-win-the-2028-us-presidential-election","2","1578738.07","13194706.82","1.0000","0.0000","1.001","-0.001","-0.100","1019751.42","-1019.7514","Yes=0.0070 (1019751.42); No=0.9940 (1138397.22)","Yes=0.0060 (1138397.22); No=0.9930 (1019751.42)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Andy Beshear win the 2028 US Presidential Election?","will-andy-beshear-win-the-2028-us-presidential-election","https://polymarket.com/market/will-andy-beshear-win-the-2028-us-presidential-election","2","475896.93","18586464.32","1.0000","0.0000","1.001","-0.001","-0.100","1502.38","-1.5024","Yes=0.0110 (117306.28); No=0.9900 (1502.38)","Yes=0.0100 (1502.38); No=0.9890 (117306.28)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Donald Trump Jr. win the 2028 US Presidential Election?","will-donald-trump-jr-win-the-2028-us-presidential-election","https://polymarket.com/market/will-donald-trump-jr-win-the-2028-us-presidential-election","2","714398.36","13111556.11","1.0000","0.0000","1.001","-0.001","-0.100","50681.99","-50.6820","Yes=0.0110 (50681.99); No=0.9900 (346669.22)","Yes=0.0100 (346669.22); No=0.9890 (50681.99)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Nikki Haley win the 2028 US Presidential Election?","will-nikki-haley-win-the-2028-us-presidential-election","https://polymarket.com/market/will-nikki-haley-win-the-2028-us-presidential-election","2","2060098.59","27949438.25","1.0000","0.0000","1.001","-0.001","-0.100","1599757.15","-1599.7572","Yes=0.0070 (1599757.15); No=0.9940 (3104069.16)","Yes=0.0060 (3104069.16); No=0.9930 (1599757.15)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Ron DeSantis win the 2028 US Presidential Election?","will-ron-desantis-win-the-2028-us-presidential-election","https://polymarket.com/market/will-ron-desantis-win-the-2028-us-presidential-election","2","277035.91","11925978.48","1.0000","0.0000","1.001","-0.001","-0.100","6084.05","-6.0840","Yes=0.0130 (62617.34); No=0.9880 (6084.05)","Yes=0.0120 (6084.05); No=0.9870 (62617.34)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will JB Pritzker win the 2028 US Presidential Election?","will-jb-pritzker-win-the-2028-us-presidential-election","https://polymarket.com/market/will-jb-pritzker-win-the-2028-us-presidential-election","2","677571.85","12173220.94","1.0000","0.0000","1.001","-0.001","-0.100","19310.25","-19.3102","Yes=0.0090 (54251.37); No=0.9920 (19310.25)","Yes=0.0080 (19310.25); No=0.9910 (54251.37)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Tulsi Gabbard win the 2028 US Presidential Election?","will-tulsi-gabbard-win-the-2028-us-presidential-election","https://polymarket.com/market/will-tulsi-gabbard-win-the-2028-us-presidential-election","2","591073.78","32831290.98","1.0000","0.0000","1.001","-0.001","-0.100","15482.57","-15.4826","Yes=0.0090 (157452.01); No=0.9920 (15482.57)","Yes=0.0080 (15482.57); No=0.9910 (157452.01)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Donald Trump win the 2028 US Presidential Election?","will-donald-trump-win-the-2028-us-presidential-election","https://polymarket.com/market/will-donald-trump-win-the-2028-us-presidential-election","2","671920.91","8701220.74","1.0000","0.0000","1.001","-0.001","-0.100","285.85","-0.2858","Yes=0.0140 (285.85); No=0.9870 (4316.96)","Yes=0.0130 (4316.96); No=0.9860 (285.85)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Jasmine Crockett win the 2028 Democratic presidential nomination?","will-jasmine-crockett-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-jasmine-crockett-win-the-2028-democratic-presidential-nomination","2","2605919.60","35165875.02","1.0000","0.0000","1.001","-0.001","-0.100","2306399.72","-2306.3997","Yes=0.0070 (2306399.72); No=0.9940 (3731633.02)","Yes=0.0060 (3731633.02); No=0.9930 (2306399.72)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Ruben Gallego win the 2028 Democratic presidential nomination?","will-ruben-gallego-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-ruben-gallego-win-the-2028-democratic-presidential-nomination","2","942271.90","7912445.70","1.0000","0.0000","1.001","-0.001","-0.100","509767.86","-509.7679","Yes=0.0080 (509767.86); No=0.9930 (1253499.34)","Yes=0.0070 (1253499.34); No=0.9920 (509767.86)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Ro Khanna win the 2028 Democratic presidential nomination?","will-ro-khanna-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-ro-khanna-win-the-2028-democratic-presidential-nomination","2","290341.91","10922914.86","1.0000","0.0000","1.001","-0.001","-0.100","192.33","-0.1923","Yes=0.0160 (10551.42); No=0.9850 (192.33)","Yes=0.0150 (192.33); No=0.9840 (10551.42)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Beto OâRourke win the 2028 Democratic presidential nomination?","will-beto-orourke-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-beto-orourke-win-the-2028-democratic-presidential-nomination","2","2628759.14","41617612.28","1.0000","0.0000","1.001","-0.001","-0.100","297305.76","-297.3058","Yes=0.0070 (2492169.42); No=0.9940 (297305.76)","Yes=0.0060 (297305.76); No=0.9930 (2492169.42)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Kim Kardashian win the 2028 Democratic presidential nomination?","will-kim-kardashian-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-kim-kardashian-win-the-2028-democratic-presidential-nomination","2","3052551.33","41387735.51","1.0000","0.0000","1.001","-0.001","-0.100","2781381.49","-2781.3815","Yes=0.0070 (2836603.88); No=0.9940 (2781381.49)","Yes=0.0060 (2781381.49); No=0.9930 (2836603.88)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Chris Murphy win the 2028 Democratic presidential nomination?","will-chris-murphy-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-chris-murphy-win-the-2028-democratic-presidential-nomination","2","1806211.07","16788238.31","1.0000","0.0000","1.001","-0.001","-0.100","1059338.92","-1059.3389","Yes=0.0090 (1379276.32); No=0.9920 (1059338.92)","Yes=0.0080 (1059338.92); No=0.9910 (1379276.32)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?","will-alexandria-ocasio-cortez-win-the-2028-us-presidential-election","https://polymarket.com/market/will-alexandria-ocasio-cortez-win-the-2028-us-presidential-election","2","334306.60","12455164.55","1.0000","0.0000","1.001","-0.001","-0.100","99.64","-0.0996","Yes=0.0660 (169.88); No=0.9350 (99.64)","Yes=0.0650 (99.64); No=0.9340 (169.88)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Pete Buttigieg win the 2028 US Presidential Election?","will-pete-buttigieg-win-the-2028-us-presidential-election","https://polymarket.com/market/will-pete-buttigieg-win-the-2028-us-presidential-election","2","525943.09","4832629.85","1.0000","0.0000","1.001","-0.001","-0.100","1605.61","-1.6056","Yes=0.0220 (4282.18); No=0.9790 (1605.61)","Yes=0.0210 (1605.61); No=0.9780 (4282.18)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Josh Shapiro win the 2028 US Presidential Election?","will-josh-shapiro-win-the-2028-us-presidential-election","https://polymarket.com/market/will-josh-shapiro-win-the-2028-us-presidential-election","2","419061.85","6818428.13","1.0000","0.0000","1.001","-0.001","-0.100","2992.95","-2.9930","Yes=0.0280 (2992.95); No=0.9730 (17613.75)","Yes=0.0270 (17613.75); No=0.9720 (2992.95)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will James Talarico win the 2028 Democratic presidential nomination?","will-james-talarico-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-james-talarico-win-the-2028-democratic-presidential-nomination","2","303381.81","9885007.87","1.0000","0.0000","1.001","-0.001","-0.100","25784.74","-25.7847","Yes=0.0150 (28991.13); No=0.9860 (25784.74)","Yes=0.0140 (25784.74); No=0.9850 (28991.13)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
